tenkijp_miyakon,【アメダヽ`、ヽ`个o(・ω・。)`ヽ、`ヽ、】16時発表 都城市の今夜の天気 雨 最高35℃ 最低25℃ 降水(今夜)40% #Tenki_都城 https://t.co/KIUIuY3lUJ,,[3]
tenkijp_nobeoka,【(^o^)/】16時発表 延岡市の今夜の天気 晴 最高34℃ 最低24℃ 降水(今夜)0% #Tenki_延岡 https://t.co/MLtKZORnrt,,[3]
tenkijp_miyazak,【(^o^)/】16時発表 宮崎市の今夜の天気 晴 最高33℃ 最低26℃ 降水(今夜)0% #Tenki_宮崎 https://t.co/wu8C8nY1PV,,[3]
tenkijp_hitoyos,【アメダヽ`、ヽ`个o(・ω・。)`ヽ、`ヽ、】16時発表 人吉市の今夜の天気 雨 最高34℃ 最低25℃ 降水(今夜)50% #Tenki_人吉 https://t.co/Lw9FxEfL0p,,[3]
tenkijp_ushibuk,【念のため…(・ω・*)折りたたみ傘ね】16時発表 天草市の今夜の天気 晴一時雨 最高34℃ 最低24℃ 降水(今夜)50% #Tenki_牛深 https://t.co/vfcUcVTxNI,,[3]
tenkijp_asootoh,【アメダヽ`、ヽ`个o(・ω・。)`ヽ、`ヽ、】16時発表 阿蘇市の今夜の天気 雨 最高32℃ 最低22℃ 降水(今夜)40% #Tenki_阿蘇乙姫 https://t.co/dkOKW8IBPp,,[3]
tenkijp_kumamot,【アメダヽ`、ヽ`个o(・ω・。)`ヽ、`ヽ、】16時発表 熊本市の今夜の天気 雨 最高35℃ 最低27℃ 降水(今夜)60% #Tenki_熊本 https://t.co/15v2X2myMA,,[3]
tenkijp_imari,【(^o^)/】16時発表 伊万里市の今夜の天気 晴 最高34℃ 最低25℃ 降水(今夜)0% #Tenki_伊万里 https://t.co/Uq6cqpruXo,,[3]
tenkijp_saga,【晴れるよ(-ω☆)キラリ】16時発表 佐賀市の今夜の天気 雨のち晴 最高37℃ 最低27℃ 降水(今夜)40% #Tenki_佐賀 https://t.co/j4MRAphABZ,,[3]
tenkijp_fukue,【(^o^)/】16時発表 五島市の今夜の天気 晴 最高34℃ 最低25℃ 降水(今夜)0% #Tenki_福江 https://t.co/nKYRZtHgO7,,[3]
tenkijp_izuhara,【(^o^)/】16時発表 対馬市の今夜の天気 晴 最高33℃ 最低25℃ 降水(今夜)0% #Tenki_厳原 https://t.co/zeAbhjMKLP,,[3]
tenkijp_sasebo,【(^o^)/】16時発表 佐世保市の今夜の天気 晴 最高34℃ 最低27℃ 降水(今夜)0% #Tenki_佐世保 https://t.co/34upDCmzbp,,[3]
tenkijp_nagasak,【(^o^)/】16時発表 長崎市の今夜の天気 晴 最高33℃ 最低27℃ 降水(今夜)0% #Tenki_長崎 https://t.co/A5p16Xc4Us,,[3]
tenkijp_saiki,【(^o^)/】16時発表 佐伯市の今夜の天気 晴 最高34℃ 最低24℃ 降水(今夜)0% #Tenki_佐伯 https://t.co/D6zxNU5ybc,,[3]
tenkijp_hita,【晴れるよ(-ω☆)キラリ】16時発表 日田市の今夜の天気 雨のち晴 最高37℃ 最低26℃ 降水(今夜)40% #Tenki_日田 https://t.co/OptKMGo1sN,,[3]
tenkijp_nakatsu,【(^o^)/】16時発表 中津市の今夜の天気 晴 最高34℃ 最低26℃ 降水(今夜)0% #Tenki_中津 https://t.co/tgLQOBmLyy,,[3]
tenkijp_oita,【(^o^)/】16時発表 大分市の今夜の天気 晴 最高35℃ 最低26℃ 降水(今夜)0% #Tenki_大分 https://t.co/yTyaUMLD9M,,[3]
tenkijp_kurume,【(^o^)/】16時発表 久留米市の今夜の天気 晴 最高37℃ 最低27℃ 降水(今夜)0% #Tenki_久留米 https://t.co/cBYQTz5RLD,,[3]
tenkijp_iizuka,【(^o^)/】16時発表 飯塚市の今夜の天気 晴 最高36℃ 最低26℃ 降水(今夜)0% #Tenki_飯塚 https://t.co/6AlWSccgvZ,,[3]
tenkijp_yahata,【(^o^)/】16時発表 北九州市の今夜の天気 晴 最高34℃ 最低27℃ 降水(今夜)0% #Tenki_八幡 https://t.co/dShzALAJwv,,[3]
tenkijp_fukuoka,【(^o^)/】16時発表 福岡市の今夜の天気 晴 最高35℃ 最低27℃ 降水(今夜)0% #Tenki_福岡 https://t.co/NGYv3lQxKx,,[3]
tenkijp_shimizu,【(^o^)/】16時発表 土佐清水市の今夜の天気 晴 最高32℃ 最低26℃ 降水(今夜)10% #Tenki_清水 https://t.co/Ncn74VVQAS,,[3]
tenkijp_murotom,【(^o^)/】16時発表 室戸市の今夜の天気 晴 最高31℃ 最低25℃ 降水(今夜)0% #Tenki_室戸岬 https://t.co/cwrvzILeyu,,[3]
tenkijp_kochi,【(^o^)/】16時発表 高知市の今夜の天気 晴 最高35℃ 最低26℃ 降水(今夜)0% #Tenki_高知 https://t.co/4uk4RoL2HW,,[3]
tenkijp_uwajima,【(^o^)/】16時発表 宇和島市の今夜の天気 晴 最高34℃ 最低24℃ 降水(今夜)10% #Tenki_宇和島 https://t.co/DEs8MLdy7E,,[3]
tenkijp_niihama,【(^o^)/】16時発表 新居浜市の今夜の天気 晴 最高35℃ 最低25℃ 降水(今夜)0% #Tenki_新居浜 https://t.co/7fA7nD7JVR,,[3]
tenkijp_matsuya,【(^o^)/】16時発表 松山市の今夜の天気 晴 最高35℃ 最低25℃ 降水(今夜)0% #Tenki_松山 https://t.co/LiPNSoNSWq,,[3]
tenkijp_takamat,【(^o^)/】16時発表 高松市の今夜の天気 晴 最高36℃ 最低27℃ 降水(今夜)0% #Tenki_高松 https://t.co/T4KoflYCVZ,,[3]
tenkijp_hiwasa,【(^o^)/】16時発表 美波町の今夜の天気 晴 最高35℃ 最低25℃ 降水(今夜)0% #Tenki_日和佐 https://t.co/asmsKNwZOO,,[3]
tenkijp_tokushi,【(^o^)/】16時発表 徳島市の今夜の天気 晴 最高37℃ 最低26℃ 降水(今夜)0% #Tenki_徳島 https://t.co/b2a1qYB33D,,[3]
tenkijp_hagi,【(^o^)/】16時発表 萩市の今夜の天気 晴 最高34℃ 最低24℃ 降水(今夜)0% #Tenki_萩 https://t.co/F0FjyPQAhu,,[3]
tenkijp_yanai,【(^o^)/】16時発表 柳井市の今夜の天気 晴 最高34℃ 最低25℃ 降水(今夜)0% #Tenki_柳井 https://t.co/T2WcNJA3st,,[3]
tenkijp_yamaguc,【(^o^)/】16時発表 山口市の今夜の天気 晴 最高36℃ 最低25℃ 降水(今夜)0% #Tenki_山口 https://t.co/DIkwS5clMz,,[3]
tenkijp_shimono,【(^o^)/】16時発表 下関市の今夜の天気 晴 最高34℃ 最低27℃ 降水(今夜)0% #Tenki_下関 https://t.co/deDigStkx3,,[3]
tenkijp_yonago,【(^o^)/】16時発表 米子市の今夜の天気 晴 最高36℃ 最低25℃ 降水(今夜)0% #Tenki_米子 https://t.co/VoVK6TcrG1,,[3]
SmythWeather,"FXUS61 KRNK 040810
AFDRNK

Area Forecast Discussion
National Weather Service Blacksburg VA
410 AM EDT Sat Aug 4 2018

.SYNOPSIS...
High pressure will gradually build across the region. This will
allow for mainly... https://t.co/uHzxWp6l3q",,[3]
tenkijp_tottori,【(^o^)/】16時発表 鳥取市の今夜の天気 晴 最高35℃ 最低23℃ 降水(今夜)0% #Tenki_鳥取 https://t.co/ZTSYeXPRQs,,[3]
tenkijp_saigou,【(^o^)/】16時発表 隠岐の島町の今夜の天気 晴 最高33℃ 最低23℃ 降水(今夜)0% #Tenki_西郷 https://t.co/n1qynjrvub,,[3]
tenkijp_hamada,【(^o^)/】16時発表 浜田市の今夜の天気 晴 最高33℃ 最低25℃ 降水(今夜)0% #Tenki_浜田 https://t.co/zbkBBpKuJ9,,[3]
tenkijp_matsue,【(^o^)/】16時発表 松江市の今夜の天気 晴 最高35℃ 最低26℃ 降水(今夜)0% #Tenki_松江 https://t.co/1Yd8ktGOL4,,[3]
tenkijp_shobara,【(^o^)/】16時発表 庄原市の今夜の天気 晴 最高36℃ 最低23℃ 降水(今夜)0% #Tenki_庄原 https://t.co/63rRBKlmwO,,[3]
tenkijp_hiroshi,【(^o^)/】16時発表 広島市の今夜の天気 晴 最高36℃ 最低28℃ 降水(今夜)0% #Tenki_広島 https://t.co/B6zpAzYW2g,,[3]
tenkijp_tsuyama,【(^o^)/】16時発表 津山市の今夜の天気 晴 最高37℃ 最低23℃ 降水(今夜)0% #Tenki_津山 https://t.co/ENVTeeDhfB,,[3]
tenkijp_okayama,【(^o^)/】16時発表 岡山市の今夜の天気 晴 最高37℃ 最低25℃ 降水(今夜)0% #Tenki_岡山 https://t.co/YVaeY9qzol,,[3]
tenkijp_shionom,【(^o^)/】16時発表 串本町の今夜の天気 晴 最高31℃ 最低25℃ 降水(今夜)0% #Tenki_潮岬 https://t.co/LQNKQ19YyL,,[3]
tenkijp_wakayam,【(^o^)/】16時発表 和歌山市の今夜の天気 晴 最高36℃ 最低26℃ 降水(今夜)0% #Tenki_和歌山 https://t.co/5aaZ5YXlR2,,[3]
tenkijp_kazeya,【(^o^)/】16時発表 十津川村の今夜の天気 晴 最高37℃ 最低21℃ 降水(今夜)0% #Tenki_風屋 https://t.co/cr8E7VMiki,,[3]
tenkijp_nara,【(^o^)/】16時発表 奈良市の今夜の天気 晴 最高37℃ 最低24℃ 降水(今夜)0% #Tenki_奈良 https://t.co/6Bq9XDx2Rk,,[3]
tenkijp_toyooka,【(^o^)/】16時発表 豊岡市の今夜の天気 晴 最高36℃ 最低22℃ 降水(今夜)0% #Tenki_豊岡 https://t.co/Ty8fBRRdgk,,[3]
tenkijp_kobe,【(^o^)/】16時発表 神戸市の今夜の天気 晴 最高35℃ 最低27℃ 降水(今夜)0% #Tenki_神戸 https://t.co/aOg2DJ2AqR,,[3]
tenkijp_osaka,【(^o^)/】16時発表 大阪市の今夜の天気 晴 最高37℃ 最低25℃ 降水(今夜)0% #Tenki_大阪 https://t.co/33qbsfXZRF,,[3]
tenkijp_maizuru,【(^o^)/】16時発表 舞鶴市の今夜の天気 晴 最高34℃ 最低23℃ 降水(今夜)0% #Tenki_舞鶴 https://t.co/Ku7ec9fvOG,,[3]
tenkijp_kyoto,【(^o^)/】16時発表 京都市の今夜の天気 晴 最高39℃ 最低25℃ 降水(今夜)0% #Tenki_京都 https://t.co/koiKdseuZ9,,[3]
tenkijp_hikone,【(^o^)/】16時発表 彦根市の今夜の天気 晴 最高36℃ 最低25℃ 降水(今夜)0% #Tenki_彦根 https://t.co/OxnIcnhdDI,,[3]
iembot_rnk,"RNK issues Area Forecast Discussion (AFD) at Aug 4, 4:10 AM EDT https://t.co/Ep2yehkyL5",,[3]
tenkijp_otsu,【(^o^)/】16時発表 大津市の今夜の天気 晴 最高37℃ 最低23℃ 降水(今夜)0% #Tenki_大津 https://t.co/Wa1a42usdZ,,[3]
tenkijp_kawaguc,【アメダヽ`、ヽ`个o(・ω・。)`ヽ、`ヽ、】16時発表 富士河口湖町の今夜の天気 雨 最高33℃ 最低19℃ 降水(今夜)40% #Tenki_河口湖 https://t.co/MCyNU2g5mp,,[3]
tenkijp_kofu,【晴れるよ(-ω☆)キラリ】16時発表 甲府市の今夜の天気 雨のち晴 最高38℃ 最低24℃ 降水(今夜)40% #Tenki_甲府 https://t.co/HYIjZfLLBF,,[3]
tenkijp_iida,【アメダヽ`、ヽ`个o(・ω・。)`ヽ、`ヽ、】16時発表 飯田市の今夜の天気 雨 最高38℃ 最低23℃ 降水(今夜)40% #Tenki_飯田 https://t.co/PVNviaUAVT,,[3]
tenkijp_matsumo,【(^o^)/】16時発表 松本市の今夜の天気 晴 最高35℃ 最低20℃ 降水(今夜)0% #Tenki_松本 https://t.co/rGfgUaGaVa,,[3]
tenkijp_nagano,【晴れるよ(-ω☆)キラリ】16時発表 長野市の今夜の天気 雨のち晴 最高35℃ 最低21℃ 降水(今夜)40% #Tenki_長野 https://t.co/zDa8cejQ5C,,[3]
tenkijp_odawara,【(^o^)/】16時発表 小田原市の今夜の天気 晴 最高33℃ 最低25℃ 降水(今夜)10% #Tenki_小田原 https://t.co/XapkZh1coi,,[3]
tenkijp_yokoham,【(^o^)/】16時発表 横浜市の今夜の天気 晴 最高35℃ 最低26℃ 降水(今夜)0% #Tenki_横浜 https://t.co/bpJxHJ6CnY,,[3]
tenkijp_tateyam,【(^o^)/】16時発表 館山市の今夜の天気 晴 最高33℃ 最低25℃ 降水(今夜)0% #Tenki_館山 https://t.co/fUyS9M1txg,,[3]
tenkijp_choushi,【(^o^)/】16時発表 銚子市の今夜の天気 晴 最高31℃ 最低25℃ 降水(今夜)0% #Tenki_銚子 https://t.co/qugWYlDhND,,[3]
tenkijp_chiba,【(^o^)/】16時発表 千葉市の今夜の天気 晴 最高35℃ 最低26℃ 降水(今夜)0% #Tenki_千葉 https://t.co/vtuUqs4v0O,,[3]
tenkijp_chichij,【(^o^)/】16時発表 小笠原村の今夜の天気 晴 最高30℃ 最低26℃ 降水(今夜)10% #Tenki_父島 https://t.co/qHt22JJ73Z,,[3]
tenkijp_hachijy,【(^o^)/】16時発表 八丈町の今夜の天気 晴 最高32℃ 最低25℃ 降水(今夜)10% #Tenki_八丈島 https://t.co/AmgFhPfpCt,,[3]
tenkijp_oshima,【(^o^)/】16時発表 大島町の今夜の天気 晴 最高30℃ 最低26℃ 降水(今夜)0% #Tenki_大島 https://t.co/lIjQRKN4jR,,[3]
tenkijp_tokyo,【(^o^)/】16時発表 千代田区の今夜の天気 晴 最高35℃ 最低26℃ 降水(今夜)0% #Tenki_東京 https://t.co/BeBLA0TGBl,,[3]
tenkijp_chichib,【(^o^)/】16時発表 秩父市の今夜の天気 晴 最高36℃ 最低21℃ 降水(今夜)0% #Tenki_秩父 https://t.co/mWKEWH9qNu,,[3]
tenkijp_kumagay,【(^o^)/】16時発表 熊谷市の今夜の天気 晴 最高37℃ 最低25℃ 降水(今夜)10% #Tenki_熊谷 https://t.co/CCo2weqVvf,,[3]
tenkijp_saitama,【(^o^)/】16時発表 さいたま市の今夜の天気 晴 最高36℃ 最低26℃ 降水(今夜)0% #Tenki_さいたま https://t.co/eVjpapTBvq,,[3]
tenkijp_minakam,【(^o^)/】16時発表 みなかみ町の今夜の天気 晴 最高35℃ 最低17℃ 降水(今夜)0% #Tenki_みなかみ https://t.co/cJksiVFRJ1,,[3]
tenkijp_maebash,【(^o^)/】16時発表 前橋市の今夜の天気 晴 最高37℃ 最低24℃ 降水(今夜)10% #Tenki_前橋 https://t.co/MsxK6mI4IK,,[3]
tenkijp_otawara,【(^o^)/】16時発表 大田原市の今夜の天気 晴 最高35℃ 最低20℃ 降水(今夜)0% #Tenki_大田原 https://t.co/kdqsrVp4GF,,[3]
tenkijp_utsunom,【(^o^)/】16時発表 宇都宮市の今夜の天気 晴 最高35℃ 最低24℃ 降水(今夜)0% #Tenki_宇都宮 https://t.co/PCb56eqkQ1,,[3]
tenkijp_tsuchiu,【(^o^)/】16時発表 土浦市の今夜の天気 晴 最高34℃ 最低24℃ 降水(今夜)0% #Tenki_土浦 https://t.co/1NAHExA1Q7,,[3]
tenkijp_mito,【(^o^)/】16時発表 水戸市の今夜の天気 晴 最高32℃ 最低24℃ 降水(今夜)0% #Tenki_水戸 https://t.co/YzUh8mlZjv,,[3]
tenkijp_aikawa,【(^o^)/】16時発表 佐渡市の今夜の天気 晴 最高32℃ 最低22℃ 降水(今夜)0% #Tenki_相川 https://t.co/QqkwMbPnxG,,[3]
tenkijp_takada,【(^o^)/】16時発表 上越市の今夜の天気 晴 最高32℃ 最低24℃ 降水(今夜)0% #Tenki_高田 https://t.co/0tAnlkuAuZ,,[3]
tenkijp_nagaoka,【(^o^)/】16時発表 長岡市の今夜の天気 晴 最高34℃ 最低23℃ 降水(今夜)0% #Tenki_長岡 https://t.co/VoGAd1XfYQ,,[3]
tenkijp_niigata,【(^o^)/】16時発表 新潟市の今夜の天気 晴 最高33℃ 最低24℃ 降水(今夜)0% #Tenki_新潟 https://t.co/u9NhBeEVyN,,[3]
tenkijp_tsuruga,【(^o^)/】16時発表 敦賀市の今夜の天気 晴 最高35℃ 最低25℃ 降水(今夜)0% #Tenki_敦賀 https://t.co/x0OVGITMO5,,[3]
tenkijp_fukui,【(^o^)/】16時発表 福井市の今夜の天気 晴 最高36℃ 最低24℃ 降水(今夜)0% #Tenki_福井 https://t.co/LXf0FoCzv9,,[3]
tenkijp_wajima,【晴れるよ(-ω☆)キラリ】16時発表 輪島市の今夜の天気 雨のち晴 最高33℃ 最低22℃ 降水(今夜)10% #Tenki_輪島 https://t.co/NztilfVBe0,,[3]
tenkijp_kanazaw,【(^o^)/】16時発表 金沢市の今夜の天気 晴 最高34℃ 最低24℃ 降水(今夜)0% #Tenki_金沢 https://t.co/lfcBkZYzE0,,[3]
tenkijp_fushiki,【(^o^)/】16時発表 高岡市の今夜の天気 晴 最高34℃ 最低23℃ 降水(今夜)0% #Tenki_伏木 https://t.co/UpRH2MznNA,,[3]
tenkijp_toyama,【(^o^)/】16時発表 富山市の今夜の天気 晴 最高35℃ 最低24℃ 降水(今夜)0% #Tenki_富山 https://t.co/xmG87ZuO9c,,[3]
tenkijp_owase,【(^o^)/】16時発表 尾鷲市の今夜の天気 晴 最高35℃ 最低24℃ 降水(今夜)10% #Tenki_尾鷲 https://t.co/7ijs6C9Pq6,,[3]
tenkijp_tsu,【(^o^)/】16時発表 津市の今夜の天気 晴 最高35℃ 最低27℃ 降水(今夜)0% #Tenki_津 https://t.co/Selxalc9qD,,[3]
tenkijp_takayam,【(^o^)/】16時発表 高山市の今夜の天気 晴 最高36℃ 最低19℃ 降水(今夜)0% #Tenki_高山 https://t.co/mIevFlNNsF,,[3]
tenkijp_gifu,【(^o^)/】16時発表 岐阜市の今夜の天気 晴 最高38℃ 最低26℃ 降水(今夜)0% #Tenki_岐阜 https://t.co/zD9rU4v2du,,[3]
tenkijp_toyohas,【(^o^)/】16時発表 豊橋市の今夜の天気 晴 最高33℃ 最低25℃ 降水(今夜)10% #Tenki_豊橋 https://t.co/WmHe8axnVK,,[3]
tenkijp_nagoya,【(^o^)/】16時発表 名古屋市の今夜の天気 晴 最高37℃ 最低27℃ 降水(今夜)0% #Tenki_名古屋 https://t.co/X98fZiBDO0,,[3]
tenkijp_hamamat,【(^o^)/】16時発表 浜松市の今夜の天気 晴 最高33℃ 最低27℃ 降水(今夜)10% #Tenki_浜松 https://t.co/ctJ6q2XFwu,,[3]
tenkijp_mishima,16時発表 三島市の今夜の天気 晴のち曇 最高35℃ 最低26℃ 降水(今夜)20% #Tenki_三島 https://t.co/gsOL95B9FD,,[3]
tenkijp_ajiro,【(^o^)/】16時発表 熱海市の今夜の天気 晴 最高32℃ 最低26℃ 降水(今夜)10% #Tenki_網代 https://t.co/toRkuxRdeT,,[3]
tenkijp_shizuok,【傘を忘れずに(・ω・)ゞ】16時発表 静岡市の今夜の天気 曇のち雨 最高33℃ 最低27℃ 降水(今夜)60% #Tenki_静岡 https://t.co/HHxVuBSTRu,,[3]
tenkijp_wakamat,【(^o^)/】16時発表 会津若松市の今夜の天気 晴 最高36℃ 最低21℃ 降水(今夜)0% #Tenki_若松 https://t.co/kMs2WUzm4q,,[3]
tenkijp_onahama,【(^o^)/】16時発表 いわき市の今夜の天気 晴 最高31℃ 最低22℃ 降水(今夜)0% #Tenki_小名浜 https://t.co/DEo2zCu4aa,,[3]
tenkijp_fukushi,【(^o^)/】16時発表 福島市の今夜の天気 晴 最高37℃ 最低22℃ 降水(今夜)0% #Tenki_福島 https://t.co/XhUZMgAJEk,,[3]
tenkijp_shinjyo,【(^o^)/】16時発表 新庄市の今夜の天気 晴 最高33℃ 最低19℃ 降水(今夜)0% #Tenki_新庄 https://t.co/FCnwRXcP45,,[3]
tenkijp_sakata,【(^o^)/】16時発表 酒田市の今夜の天気 晴 最高31℃ 最低22℃ 降水(今夜)0% #Tenki_酒田 https://t.co/7EzxTVu6gf,,[3]
tenkijp_yonezaw,【(^o^)/】16時発表 米沢市の今夜の天気 晴 最高34℃ 最低19℃ 降水(今夜)0% #Tenki_米沢 https://t.co/9AXgcoRMav,,[3]
tenkijp_yamagat,【(^o^)/】16時発表 山形市の今夜の天気 晴 最高34℃ 最低21℃ 降水(今夜)0% #Tenki_山形 https://t.co/Wlz46bWpib,,[3]
tenkijp_shirois,【(。-_-。)】16時発表 白石市の今夜の天気 曇 最高32℃ 最低19℃ 降水(今夜)0% #Tenki_白石 https://t.co/PzMtiZ4Lul,,[3]
tenkijp_sendai,16時発表 仙台市の今夜の天気 雨のち曇 最高32℃ 最低22℃ 降水(今夜)0% #Tenki_仙台 https://t.co/yrW3oX3q0G,,[3]
tenkijp_ofunato,【アメダヽ`、ヽ`个o(・ω・。)`ヽ、`ヽ、】16時発表 大船渡市の今夜の天気 雨 最高28℃ 最低19℃ 降水(今夜)50% #Tenki_大船渡 https://t.co/ooovSjUTfR,,[3]
tenkijp_miyako,【アメダヽ`、ヽ`个o(・ω・。)`ヽ、`ヽ、】16時発表 宮古市の今夜の天気 雨 最高26℃ 最低18℃ 降水(今夜)50% #Tenki_宮古 https://t.co/z72cTmBwiL,,[3]
tenkijp_morioka,【アメダヽ`、ヽ`个o(・ω・。)`ヽ、`ヽ、】16時発表 盛岡市の今夜の天気 雨 最高29℃ 最低18℃ 降水(今夜)40% #Tenki_盛岡 https://t.co/3GjJImYlF2,,[3]
tenkijp_yokote,【アメダヽ`、ヽ`个o(・ω・。)`ヽ、`ヽ、】16時発表 横手市の今夜の天気 雨 最高32℃ 最低19℃ 降水(今夜)10% #Tenki_横手 https://t.co/1rIubRTu7F,,[3]
